Description,Parts Cost,Estimated Hours,Complexity Multiplier,Adjusted Labor Cost,Truck Fee,Roof Access Fee,Total Base Cost,Flat Rate (Non-Contract),Flat Rate (PM Contract)
B1393802 2WING BOARD SUPPORT       ,0.62,1.0,1.0,60.0,10,75,145.62,211.15,190.03
B139860 KEY 4 X 4.5                ,2.44,1.0,1.0,60.0,10,75,147.44,213.79,192.41
B1398604 STEEL KEY                 ,2.49,1.0,1.0,60.0,10,75,147.49,213.86,192.47
B14010-14 DIRECT SPARK IGNITOR     ,17.79,1.0,1.0,60.0,10,75,162.79,236.05,212.44
B1410302Q PRESSURE SWITCH HOSE     ,4.17,1.0,1.0,60.0,10,75,149.17,216.3,194.67
B14972-04  ENERGY CUT-OFF          ,6.06,1.0,1.0,60.0,10,75,151.06,219.04,197.13
B1567838HDF DRAIN PAN              ,19.54,1.0,1.0,60.0,10,75,164.54,238.58,214.72
B17559-23H PLASTIC DRN PAN*DSSC*   ,30.74,1.0,1.0,60.0,10,75,175.74,254.82,229.34
B1756013H AR UPFLOW DRAIN PAN      ,23.72,1.0,1.0,60.0,10,75,168.72,244.64,220.18
B1756017HDF HI-TEMP DRAIN PAN      ,36.47,1.0,1.0,60.0,10,75,181.47,263.13,236.82
B1756020H AR UPFLOW DRAIN PAN      ,29.97,1.0,1.0,60.0,10,75,174.97,253.71,228.34
B1787811 VENTURI                   ,4.57,1.0,1.0,60.0,10,75,149.57,216.88,195.19
B17898-49 FLOWCHECK PISTON KIT     ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-51 FLOW CHECK PISTON KIT    ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-52 FLOW CHECK PISTON KIT    ,5.15,1.0,1.0,60.0,10,75,150.15,217.72,195.95
B17898-55 FLOWCHECK PISTON KIT     ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-57 FLOWCHECK PISTON KIT     ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-59 FLOW CHECK PISTON KIT    ,4.33,1.0,1.0,60.0,10,75,149.33,216.53,194.88
B1789861 PISTON KIT                ,4.87,1.0,1.0,60.0,10,75,149.87,217.31,195.58
B17898-62 FLOW CHECK PISTON KIT    ,5.76,1.0,1.0,60.0,10,75,150.76,218.6,196.74
B17898-65 FLOW CHECK PISTON KIT    ,5.15,1.0,1.0,60.0,10,75,150.15,217.72,195.95
B17898-67 FLOWCHECK PISTON         ,4.95,1.0,1.0,60.0,10,75,149.95,217.43,195.68
B17898-68 FLOW CHECK PISTON KIT    ,5.47,1.0,1.0,60.0,10,75,150.47,218.18,196.36
B17898-70 FLOW CHECK PISTON KIT    ,4.65,1.0,1.0,60.0,10,75,149.65,216.99,195.29
B17898-71 FLOW CHECK PISTON KIT    ,5.15,1.0,1.0,60.0,10,75,150.15,217.72,195.95
B17898-72 FLOW CHECK PISTON KIT    ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-73 FLOW CHECK PISTON KIT    ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-74 FLOW CHECK PISTON KIT    ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-76 FLOW CHECK PISTON KIT    ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-78 FLOW CHECK PISTON KIT    ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-79 FLOW CHECK PISTON KIT    ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-80 FLOW CHECK PISTON KIT    ,5.15,1.0,1.0,60.0,10,75,150.15,217.72,195.95
B17898-82 FLOW CHECK PISTON KIT    ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-84 FLOW CHECK PISTON KIT    ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-86 PISTON KIT               ,4.87,1.0,1.0,60.0,10,75,149.87,217.31,195.58
B17898-88 FLOW CHECK PISTON KIT    ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17898-90 FLOW CHECK PISTON KIT    ,5.15,1.0,1.0,60.0,10,75,150.15,217.72,195.95
B17898-93 FLOWCHECK PISTON KIT     ,4.93,1.0,1.0,60.0,10,75,149.93,217.4,195.66
B17966-30 INLET TUBE               ,4.97,1.0,1.0,60.0,10,75,149.97,217.46,195.71
B17966-32 NUT & SEAL ASSEMBLY      ,6.45,1.0,1.0,60.0,10,75,151.45,219.6,197.64
"B17966-33  ""O"" RINGS TXV VALVE     ",2.46,1.5,1.2,108.0,10,75,195.46,283.42,255.08
B1809923S HSI MODULE               ,204.84,1.0,1.0,60.0,10,75,349.84,507.27,456.54
B18225-00S SVC.BURNER 2 TUBE SS    ,103.61,1.0,1.0,60.0,10,75,248.61,360.48,324.44
B18225-01S SVC.BURNER 3 TUBE SS    ,144.7,1.0,1.0,60.0,10,75,289.7,420.06,378.06
B18225-07S SVC.BURNER 4 TUBE SS    ,165.66,1.0,1.0,60.0,10,75,310.66,450.46,405.41
B18225-08S SVC.BURNER 5 TUBE SS    ,182.06,1.0,1.0,60.0,10,75,327.06,474.24,426.81
B18225-13S SVC.BURNER 5/TUBE SS    ,151.93,1.0,1.0,60.0,10,75,296.93,430.55,387.49
B18590-00  VENT MOTOR - HOUSING    ,163.94,2.5,1.3,195.0,10,75,443.94,643.71,579.34
"B19081-07 VENT FAN BLADE 3""        ",4.89,1.0,1.0,60.0,10,75,149.89,217.34,195.61
"B19081-08 VENT FAN BLADE 3.5""      ",5.11,1.0,1.0,60.0,10,75,150.11,217.66,195.89
"B19081-09 VENT FAN BLADE 4""        ",5.72,1.0,1.0,60.0,10,75,150.72,218.54,196.69
B20559-02L DRAINPAN SUB 20559-02   ,31.6,1.0,1.0,60.0,10,75,176.6,256.07,230.46
B21100-05 FAN BELT NOTCHED         ,23.44,1.0,1.0,60.0,10,75,168.44,244.24,219.81
B21100-11 FAN BELT                 ,23.78,1.0,1.0,60.0,10,75,168.78,244.73,220.26
B21144-55 FLOWRATER W/COPPER STB   ,19.27,1.0,1.0,60.0,10,75,164.27,238.19,214.37
B2120001 VARIABLE PITCH SHEAVE     ,49.65,1.0,1.0,60.0,10,75,194.65,282.24,254.02
B2120013 MOTOR SHEAVE 1PV50        ,49.05,2.5,1.3,195.0,10,75,329.05,477.12,429.41
B2120014 SHEAVE VAR-1VL44X7/8      ,35.48,1.0,1.0,60.0,10,75,180.48,261.7,235.53
B21821-01 BLOWER ASSY. ( A120 )    ,465.86,1.0,1.0,60.0,10,75,610.86,885.75,797.17
B22590-00 COMBUSTION MOTOR         ,271.97,2.5,1.3,195.0,10,75,551.97,800.36,720.32
B25235-00 CHIMNEY GMP              ,17.81,1.0,1.0,60.0,10,75,162.81,236.07,212.47
B25260-01 GAS MANIFLD 3 CELL GMP   ,14.98,1.0,1.0,60.0,10,75,159.98,231.97,208.77
B25260-02 GAS MANIFOLD 4 CELL      ,10.98,1.0,1.0,60.0,10,75,155.98,226.17,203.55
B25260-04 MANIFOLD 6 CELL          ,18.03,1.0,1.0,60.0,10,75,163.03,236.39,212.75
B25893-42 ORIFICE                  ,18.16,1.0,1.0,60.0,10,75,163.16,236.58,212.92
B25899125 #1.25 ORIFICE ASM GMPN   ,4.88,1.0,1.0,60.0,10,75,149.88,217.33,195.59
B28107-00 DRAIN KIT ASSY GMPN603   ,56.31,1.0,1.0,60.0,10,75,201.31,291.9,262.71
B28107-01 DRAIN KIT ASSY GMPN804   ,50.64,1.0,1.0,60.0,10,75,195.64,283.68,255.31
B28107-03 DRAIN KIT ASSYGMPN1205   ,48.3,1.0,1.0,60.0,10,75,193.3,280.29,252.26
"B28108-16 2"" MESH INSERT           ",2.46,1.0,1.0,60.0,10,75,147.46,213.82,192.44
"B28325-02 FLUE COLL.GASKET 21""     ",21.08,1.0,1.0,60.0,10,75,166.08,240.82,216.73
B28326-00 GASKET 3 CELL            ,15.39,1.0,1.0,60.0,10,75,160.39,232.57,209.31
B28326-01 GASKET 4 CELL            ,24.86,1.0,1.0,60.0,10,75,169.86,246.3,221.67
B28326-02 ATTACH.GASKET 5 CELL     ,20.81,1.0,1.0,60.0,10,75,165.81,240.42,216.38
B28326-03 GASKET 6 CELL            ,25.66,1.0,1.0,60.0,10,75,170.66,247.46,222.71
B28326-06 O-RING 21/4X5/32 E/GMN   ,11.73,1.0,1.0,60.0,10,75,156.73,227.26,204.53
B3200202 BLOWER SHAFT              ,92.87,1.0,1.0,60.0,10,75,237.87,344.91,310.42
B3201300 MOUNT BRACKET BEARING     ,11.65,1.0,1.0,60.0,10,75,156.65,227.14,204.43
B3204303 SHEAVE VAR AK61           ,33.4,1.0,1.0,60.0,10,75,178.4,258.68,232.81
"B3204310 SHEAVE-FIXED AK66 1""ID    ",32.41,1.0,1.0,60.0,10,75,177.41,257.24,231.52
B32322-11 EXP.VALVE TUBING ASSY    ,163.84,1.5,1.2,108.0,10,75,356.84,517.42,465.68
B3232219 EXPANSION VALVE GPG       ,78.17,1.5,1.2,108.0,10,75,271.17,393.2,353.88
B3240000S 1/4HP CONDENSER MOTOR    ,294.76,2.5,1.3,195.0,10,75,574.76,833.4,750.06
B32400-02 BLOWER MOTOR             ,544.87,2.5,1.3,195.0,10,75,824.87,1196.06,1076.46
B3240002S BLOWER MOTOR             ,537.71,2.5,1.3,195.0,10,75,817.71,1185.68,1067.11
B32400-06  MOTOR 2HP               ,609.81,2.5,1.3,195.0,10,75,889.81,1290.22,1161.2
B40227-00 INSHOT BURNER            ,8.17,1.0,1.0,60.0,10,75,153.17,222.1,199.89
B4026006 3 CELL GAS MANIFOLD       ,13.16,1.0,1.0,60.0,10,75,158.16,229.33,206.4
B40899125 SPUD ORFICE ASM 1.25MM   ,9.05,1.0,1.0,60.0,10,75,154.05,223.37,201.04
"B4810708   DRAIN KIT ASM 14""       ",60.48,1.0,1.0,60.0,10,75,205.48,297.95,268.15
"B4810709 DRAIN KIT ASM 17.5""       ",54.16,1.0,1.0,60.0,10,75,199.16,288.78,259.9
BALL BEARING SELF ALIGNING         ,30.05,1.0,1.0,60.0,10,75,175.05,253.82,228.44
BGK-1S BLOWER GUARD KIT            ,0.08,1.0,1.0,60.0,10,75,145.08,210.37,189.33
BGK-2S BLOWER GUARD KIT            ,0.08,1.0,1.0,60.0,10,75,145.08,210.37,189.33
BGK-HYB BLOWER GUARD KIT           ,0.08,1.0,1.0,60.0,10,75,145.08,210.37,189.33
BI FLOW DRIER 0151M00012S          ,30.19,1.0,1.0,60.0,10,75,175.19,254.03,228.62
BLOWER HOUSING  GPH                ,59.63,1.0,1.0,60.0,10,75,204.63,296.71,267.04
BLOWER HOUSING GMS                 ,44.16,1.0,1.0,60.0,10,75,189.16,274.28,246.85
BLOWER MOTOR                       ,312.37,2.5,1.3,195.0,10,75,592.37,858.94,773.04
BLOWER SHEAVE AK69                 ,63.16,1.0,1.0,60.0,10,75,208.16,301.83,271.65
BLOWER SHELL 10 X 8                ,57.27,1.0,1.0,60.0,10,75,202.27,293.29,263.96
BLOWER SHELL GPG                   ,82.56,1.0,1.0,60.0,10,75,227.56,329.96,296.97
BLOWER SHELL GPG                   ,160.06,1.0,1.0,60.0,10,75,305.06,442.34,398.1
BLOWER SHELL GPG                   ,38.48,1.0,1.0,60.0,10,75,183.48,266.05,239.44
BRACKET COND MTR 7.5 TON           ,46.32,1.0,1.0,60.0,10,75,191.32,277.41,249.67
BRACKET GPG 4 CELL                 ,7.79,1.0,1.0,60.0,10,75,152.79,221.55,199.39
BT1243745 SECONDARY OVERLOAD       ,23.1,1.0,1.0,60.0,10,75,168.1,243.74,219.37
BT12565-05 RELAY                   ,23.51,1.0,1.0,60.0,10,75,168.51,244.34,219.91
BT1340030S MOTOR                   ,178.26,2.5,1.3,195.0,10,75,458.26,664.48,598.03
BT1340032S COND MOTOR              ,202.82,2.5,1.3,195.0,10,75,482.82,700.09,630.08
BT1369032 EXPANSION VALVE          ,77.83,1.5,1.2,108.0,10,75,270.83,392.7,353.43
BT1369034 EXPANSION VALVE          ,157.46,1.5,1.2,108.0,10,75,350.46,508.17,457.35
BT1369040 EXPANSION VALVE          ,83.92,1.5,1.2,108.0,10,75,276.92,401.53,361.38
BT1369063 FLOWRATOR INLET TUBE90   ,7.19,1.0,1.0,60.0,10,75,152.19,220.68,198.61
BT1393210 THUMBSCREW* PACK OF 2*   ,4.87,1.0,1.0,60.0,10,75,149.87,217.31,195.58
BT1420029  5 KW HEATER ASSEMBLY    ,51.86,1.0,1.0,60.0,10,75,196.86,285.45,256.9
BT1420030 8 KW HEAT ELEMENT        ,78.5,1.0,1.0,60.0,10,75,223.5,324.08,291.67
BT1420031 10KW HTR ELEMENT SMALL   ,94.61,1.0,1.0,60.0,10,75,239.61,347.43,312.69
BT1420032 5KW HEATER ELEMENT       ,43.26,1.0,1.0,60.0,10,75,188.26,272.98,245.68
BT1420034 10 KW HEAT ELEMENT LG    ,74.01,1.0,1.0,60.0,10,75,219.01,317.56,285.81
BT1420039S HEAT KIT                ,107.51,1.0,1.0,60.0,10,75,252.51,366.14,329.53
BT17535-10S PULL OUT DISCONNECT    ,18.23,1.0,1.0,60.0,10,75,163.23,236.68,213.02
BT5076500 DRAIN PAN                ,27.73,1.0,1.0,60.0,10,75,172.73,250.46,225.41
BTSDL01 BT SHARED DATA LOADER      ,165.13,1.0,1.0,60.0,10,75,310.13,449.69,404.72
C6415502 PROTECTOR  CYCLE          ,17.49,1.0,1.0,60.0,10,75,162.49,235.61,212.05
C6453313 CUT-OUT  LOW PRESSURE     ,30.92,1.0,1.0,60.0,10,75,175.92,255.08,229.58
C6453406 CUT-OUT  HIGH PRESSURE    ,33.02,1.0,1.0,60.0,10,75,178.02,258.13,232.32
C6456508 PRESSURE SWITCH           ,29.15,1.0,1.0,60.0,10,75,174.15,252.52,227.27
C6456513 PRESSURE SWITCH           ,29.15,1.0,1.0,60.0,10,75,174.15,252.52,227.27
C8873924 RELAY  DEFROST            ,92.13,1.0,1.0,60.0,10,75,237.13,343.84,309.45
CAB050350440CS CAP 5/35MFD 440V    ,9.19,1.0,1.0,60.0,10,75,154.19,223.58,201.22
CAB050400440CT CAPACITOR           ,10.27,1.0,1.0,60.0,10,75,155.27,225.14,202.63
CAB050450440CT 45/5MFD 440V CAP    ,11.31,1.0,1.0,60.0,10,75,156.31,226.65,203.98
CAB050500440CT CAP 5/50 440 RD     ,11.54,1.0,1.0,60.0,10,75,156.54,226.98,204.28
CAB050700440CT CAP 5/70 440V RD    ,15.58,1.0,1.0,60.0,10,75,160.58,232.84,209.56
CAP  GRILL 0161R00086              ,5.16,1.0,1.0,60.0,10,75,150.16,217.73,195.96
CAP0100000500PB CAPACITOR 1/440    ,30.23,1.0,1.0,60.0,10,75,175.23,254.08,228.68
CAP010000500RP CAPACITOR           ,4.56,1.0,1.0,60.0,10,75,149.56,216.86,195.18
CAP020000440PB CAPACITOR           ,4.04,1.0,1.0,60.0,10,75,149.04,216.11,194.5
CAP020000440RP CAPACITOR           ,4.64,1.0,1.0,60.0,10,75,149.64,216.98,195.28
CAP020250450CS CAP 2/25/450V       ,8.46,1.0,1.0,60.0,10,75,153.46,222.52,200.27
CAP050000370VAP CAPACITOR          ,14.3,1.0,1.0,60.0,10,75,159.3,230.98,207.89
CAP050000370VAS CAPACITOR          ,5.15,1.0,1.0,60.0,10,75,150.15,217.72,195.95
CAP050250440RSP CAPACITOR          ,28.05,1.0,1.0,60.0,10,75,173.05,250.92,225.83
CAP050300370RSS CAPACITOR          ,10.99,1.0,1.0,60.0,10,75,155.99,226.19,203.57
CAP050300440RSP CAPACITOR          ,16.93,1.0,1.0,60.0,10,75,161.93,234.8,211.32
CAP050350440RSP CAPACITOR          ,30.28,1.0,1.0,60.0,10,75,175.28,254.16,228.74
CAP050350440RSP/B9457-5400 CAPAC   ,29.8,1.0,1.0,60.0,10,75,174.8,253.46,228.11
CAP050400440RT/B94575600 CAPACTR   ,38.64,1.0,1.0,60.0,10,75,183.64,266.28,239.65
CAP050400440RTP CAP5/440V/DUAL R   ,38.09,1.0,1.0,60.0,10,75,183.09,265.48,238.93
CAP050450440RTP 45/5MFD 440V CAP   ,32.45,1.0,1.0,60.0,10,75,177.45,257.3,231.57
CAP050450440RTS CAPACITOR          ,34.08,1.0,1.0,60.0,10,75,179.08,259.67,233.7
CAP050500440RTP CAPACITOR          ,38.75,1.0,1.0,60.0,10,75,183.75,266.44,239.79
CAP050500440RTS CAPACITOR          ,34.24,1.0,1.0,60.0,10,75,179.24,259.9,233.91
CAP050550440RTP CAPACI             ,33.94,1.0,1.0,60.0,10,75,178.94,259.46,233.52
CAP050550440RTS/B94575800 CAPACI   ,31.55,1.0,1.0,60.0,10,75,176.55,256.0,230.4
CAP050600440RTP CAPACITOR          ,37.31,1.0,1.0,60.0,10,75,182.31,264.35,237.91
CAP050600440RTS CAPACITOR          ,36.33,1.0,1.0,60.0,10,75,181.33,262.93,236.64
CAP050700440RTP CAP 5/70/440       ,25.42,1.0,1.0,60.0,10,75,170.42,247.11,222.4
CAP050700440RTS CAPACITOR          ,25.83,1.0,1.0,60.0,10,75,170.83,247.7,222.93
CAP050800440RTP CAPACITOR          ,24.89,1.0,1.0,60.0,10,75,169.89,246.34,221.71
CAP050800440RTS CAPACITOR          ,19.05,1.0,1.0,60.0,10,75,164.05,237.87,214.09
CAP075000370VA/B945651 CAPACITOR   ,10.4,1.0,1.0,60.0,10,75,155.4,225.33,202.8
CAP075000440LA CAPACITOR           ,3.48,1.0,1.0,60.0,10,75,148.48,215.3,193.77
CAP075000440LAS 7.5/440 OVAL CAP   ,11.71,1.0,1.0,60.0,10,75,156.71,227.23,204.51
CAP075350370RSS CAPACITOR          ,26.14,1.0,1.0,60.0,10,75,171.14,248.15,223.34
CAP075450370RSS CAPACITOR          ,24.25,1.0,1.0,60.0,10,75,169.25,245.41,220.87
CAP075600440RTS CAPACITOR 440V     ,34.21,1.0,1.0,60.0,10,75,179.21,259.85,233.87
CAP100000370VAP CAPACITOR          ,14.96,1.0,1.0,60.0,10,75,159.96,231.94,208.75
CAP100000370VAS CAPACITOR          ,13.83,1.0,1.0,60.0,10,75,158.83,230.3,207.27
CAP100000440LA CAPACITOR           ,4.88,1.0,1.0,60.0,10,75,149.88,217.33,195.59
CAP100000440LAS CAPACITOR          ,13.21,1.0,1.0,60.0,10,75,158.21,229.4,206.46
CAP100400440CT CAPACITOR 10/40     ,10.35,1.0,1.0,60.0,10,75,155.35,225.26,202.73
CAP100400440CTS CAP 10/40 440V     ,17.25,1.0,1.0,60.0,10,75,162.25,235.26,211.74
CAP125000370RPP CAPACITOR          ,12.37,1.0,1.0,60.0,10,75,157.37,228.19,205.37
CAP125000370RPS CAPACITOR          ,10.8,1.0,1.0,60.0,10,75,155.8,225.91,203.32
CAP125000370VAP CAPACITOR 1.5MFD   ,24.55,1.0,1.0,60.0,10,75,169.55,245.85,221.26
CAP125800370RTS CAPACITOR          ,38.75,1.0,1.0,60.0,10,75,183.75,266.44,239.79
CAP150000370VAP CAPACITOR OVAL     ,12.4,1.0,1.0,60.0,10,75,157.4,228.23,205.41
CAP200000370VAP 20/370 CAPACITOR   ,25.51,1.0,1.0,60.0,10,75,170.51,247.24,222.52
CAP200000440RPS CAP 20MFD/RD       ,8.94,1.0,1.0,60.0,10,75,153.94,223.21,200.89
CAP250000370RPP 25/370 CAPACITOR   ,15.12,1.0,1.0,60.0,10,75,160.12,232.17,208.96
CAP-3-AM CEILING ACCESS PANEL      ,128.43,1.0,1.0,60.0,10,75,273.43,396.47,356.83
CAPACITOR 12.5 60 MFD 440V DUAL    ,30.78,1.0,1.0,60.0,10,75,175.78,254.88,229.39
CAPACITOR 25 MFD 370V OVAL         ,20.43,1.0,1.0,60.0,10,75,165.43,239.87,215.89
CAPACITOR 25/5/370V                ,12.47,1.0,1.0,60.0,10,75,157.47,228.33,205.5
CAPACITOR 7.5 50 MFD 440VDUAL      ,37.56,1.0,1.0,60.0,10,75,182.56,264.71,238.24
CAPACITOR AMANA                    ,23.25,1.0,1.0,60.0,10,75,168.25,243.96,219.57
CAPKT01 CAPACITOR KIT              ,34.19,1.0,1.0,60.0,10,75,179.19,259.83,233.84
CAPKT02 CAPACITOR 1/440            ,32.99,1.0,1.0,60.0,10,75,177.99,258.09,232.28
CARBO/POTAS /PERMANGANATE          ,49.22,1.0,1.0,60.0,10,75,194.22,281.62,253.46
CARBON FILTER FOR DMH900           ,25.11,0.5,1.0,30.0,10,75,140.11,203.16,182.84
CARBON PRE FILTER FOR              ,30.06,0.5,1.0,30.0,10,75,145.06,210.34,189.3
CBK2PD240VA030S CIRC BREAKER 30    ,36.63,1.0,1.0,60.0,10,75,181.63,263.36,237.03
CBK2PD240VA050S 50 AMP BREAKER     ,42.68,1.0,1.0,60.0,10,75,187.68,272.14,244.92
CBK2PD240VA060S/B1753522S/60 BRK   ,63.7,1.0,1.0,60.0,10,75,208.7,302.61,272.35
CBK2PD240VC060S 60 AMP BREAKER     ,47.18,1.0,1.0,60.0,10,75,192.18,278.66,250.79
CBK3PD240VA050S CIRCUIT BREAKER    ,96.52,1.0,1.0,60.0,10,75,241.52,350.2,315.18
CCAP200000440RPP CAP 20MFD/RD      ,15.66,1.0,1.0,60.0,10,75,160.66,232.96,209.66
CEILING ACCESS PANEL NON LOUV      ,95.38,1.0,1.0,60.0,10,75,240.38,348.55,313.7
CHIMMEY EXT SM & MED               ,11.6,1.0,1.0,60.0,10,75,156.6,227.07,204.36
"CLEAR VIEW PORT BUSHING 1""         ",0.62,1.0,1.0,60.0,10,75,145.62,211.15,190.03
CLIP WAD DOOR                      ,2.4,0.5,1.0,30.0,10,75,117.4,170.23,153.21
CMK0001 CONDENSATE MANAGE KIT      ,121.06,1.0,1.0,60.0,10,75,266.06,385.79,347.21
CMK0002 CONDENSATE MANAGE KIT      ,126.52,1.0,1.0,60.0,10,75,271.52,393.7,354.33
CMK0003 CONDENSATE MANAGE KIT      ,146.14,1.0,1.0,60.0,10,75,291.14,422.15,379.94
CMK0004 CONDENSATE MANAGE KIT      ,96.97,1.0,1.0,60.0,10,75,241.97,350.86,315.77
CMK0005 CONDENSATE MANAGE KIT      ,91.63,1.0,1.0,60.0,10,75,236.63,343.11,308.8
CMK0006 CONDENSATE MANAGE KIT      ,94.95,1.0,1.0,60.0,10,75,239.95,347.93,313.13
CMK0007 CONDENSATE MANAGE KIT      ,98.34,1.0,1.0,60.0,10,75,243.34,352.84,317.56
CMK0015 CONDENSATE MNGMT KIT       ,106.03,1.0,1.0,60.0,10,75,251.03,363.99,327.59
CMK0016 CONDENSATE MNGMT KIT       ,154.23,1.0,1.0,60.0,10,75,299.23,433.88,390.5
CMK0017 CONDENSATE MNGMT KIT       ,119.33,1.0,1.0,60.0,10,75,264.33,383.28,344.95
CMK0018 CONDENSATE MNGMT KIT       ,199.83,1.0,1.0,60.0,10,75,344.83,500.0,450.0
CMK0019 CONDENSATE MNGMT KIT       ,185.2,1.0,1.0,60.0,10,75,330.2,478.79,430.91
CMK0020 CONDENSATE MNGMT KIT       ,280.06,1.0,1.0,60.0,10,75,425.06,616.34,554.7
COIL COND CPKE                     ,689.41,3.0,1.2,216.0,10,75,990.41,1436.09,1292.49
COIL COND CPLE                     ,1088.78,3.0,1.2,216.0,10,75,1389.78,2015.18,1813.66
COIL COND CPLJ                     ,1077.1,3.0,1.2,216.0,10,75,1378.1,1998.24,1798.42
COIL COND CPRT                     ,1143.59,3.0,1.2,216.0,10,75,1444.59,2094.66,1885.19
COLLECTOR BOX                      ,128.56,1.0,1.0,60.0,10,75,273.56,396.66,357.0
COLLECTOR COVER                    ,8.71,1.0,1.0,60.0,10,75,153.71,222.88,200.59
COLLECTOR COVER                    ,37.67,1.0,1.0,60.0,10,75,182.67,264.87,238.38
COLLECTOR COVER GMV                ,39.32,1.0,1.0,60.0,10,75,184.32,267.26,240.54
COLLECTOR PLATE                    ,53.73,1.0,1.0,60.0,10,75,198.73,288.16,259.34
COLLECTOR PLATE                    ,26.37,1.0,1.0,60.0,10,75,171.37,248.49,223.64
COLLECTOR PLATE GMV/GMS95          ,49.16,1.0,1.0,60.0,10,75,194.16,281.53,253.38
COMP 3 PH                          ,849.68,1.0,1.0,60.0,10,75,994.68,1442.29,1298.06
COMP SOLENOID CABLE                ,19.54,1.0,1.0,60.0,10,75,164.54,238.58,214.72
COMPRESSOR 3 PHASE 208V            ,998.51,2.5,1.4,210.0,10,75,1293.51,1875.59,1688.03
COND COIL                          ,1441.05,3.0,1.2,216.0,10,75,1742.05,2525.97,2273.38
COND COIL 0201R00068S              ,1189.84,3.0,1.2,216.0,10,75,1490.84,2161.72,1945.55
COND COIL CE                       ,958.98,3.0,1.2,216.0,10,75,1259.98,1826.97,1644.27
COND COIL CKL090                   ,2015.44,3.0,1.2,216.0,10,75,2316.44,3358.84,3022.95
COND COIL GPG1224/30               ,457.35,3.0,1.2,216.0,10,75,758.35,1099.61,989.65
COND COIL GPH13                    ,1137.79,3.0,1.2,216.0,10,75,1438.79,2086.25,1877.62
COND COIL GSC10090                 ,1061.6,3.0,1.2,216.0,10,75,1362.6,1975.77,1778.19
COND COIL GSC13                    ,1163.48,3.0,1.2,216.0,10,75,1464.48,2123.5,1911.15
COND COIL GSC13                    ,1052.52,3.0,1.2,216.0,10,75,1353.52,1962.6,1766.34
COND COIL GSC13                    ,699.62,3.0,1.2,216.0,10,75,1000.62,1450.9,1305.81
COND COIL GSC13                    ,787.3,3.0,1.2,216.0,10,75,1088.3,1578.04,1420.23
COND COIL GSC13                    ,1018.29,3.0,1.2,216.0,10,75,1319.29,1912.97,1721.67
COND COIL GSH14                    ,737.48,3.0,1.2,216.0,10,75,1038.48,1505.8,1355.22
COND COIL GSX13                    ,671.19,3.0,1.2,216.0,10,75,972.19,1409.68,1268.71
COND COIL GSZ13                    ,1126.71,3.0,1.2,216.0,10,75,1427.71,2070.18,1863.16
COND COIL SSX14                    ,1337.54,3.0,1.2,216.0,10,75,1638.54,2375.88,2138.29
COND MTR 1/4 HP 2 SPEED *DISC*     ,197.6,1.0,1.0,60.0,10,75,342.6,496.77,447.09
CONDENSER COIL                     ,988.24,3.0,1.2,216.0,10,75,1289.24,1869.4,1682.46
CONDENSER MOTOR 5HP                ,309.89,2.5,1.3,195.0,10,75,589.89,855.34,769.81
CONT1P030024D CONTACTOR R-32       ,10.57,1.0,1.0,60.0,10,75,155.57,225.58,203.02
CONT2P030024VS CONTCTR 30AMP 24V   ,30.68,1.0,1.0,60.0,10,75,175.68,254.74,229.26
CONT3P050024VS CONTACTOR 3 POLE    ,129.09,1.0,1.0,60.0,10,75,274.09,397.43,357.69
CONTACTOR 1POLE 25AMP 240V         ,27.33,1.0,1.0,60.0,10,75,172.33,249.88,224.89
CONTACTOR 1POLE 40AMP 24V          ,27.6,1.0,1.0,60.0,10,75,172.6,250.27,225.24
CONTACTOR 2POLE 25AMP 24V          ,27.78,1.0,1.0,60.0,10,75,172.78,250.53,225.48
CONTACTOR 2POLE 40AMP 24V          ,32.46,1.0,1.0,60.0,10,75,177.46,257.32,231.59
CONTACTOR 3POLE 25AMP 24V          ,43.08,1.0,1.0,60.0,10,75,188.08,272.72,245.44
CONTACTOR 3POLE 30AMP 24V          ,59.27,1.0,1.0,60.0,10,75,204.27,296.19,266.57
CONTACTOR 3POLE 40AMP 24V          ,55.91,1.0,1.0,60.0,10,75,200.91,291.32,262.19
CONTACTOR AMANA                    ,15.7,1.0,1.0,60.0,10,75,160.7,233.02,209.71
CONTROL-TEMP-SPST-HIGH LIMIT       ,8.22,1.0,1.0,60.0,10,75,153.22,222.17,199.95
