Description,Parts Cost,Estimated Hours,Complexity Multiplier,Adjusted Labor Cost,Truck Fee,Roof Access Fee,Total Base Cost,Flat Rate (Non-Contract),Flat Rate (PM Contract)
0130F00122S MEMORY CARDS           ,32.67,1.0,1.0,60.0,10,75,177.67,257.62,231.86
0130F00123 MAN LIMIT               ,45.91,1.0,1.0,60.0,10,75,190.91,276.82,249.14
0130F00124 MANUAL LIMIT            ,4.5,1.0,1.0,60.0,10,75,149.5,216.78,195.1
0130F00154 PRESSURE SWITCH         ,78.7,1.0,1.0,60.0,10,75,223.7,324.36,291.93
0130F00155 PRESSURE SWITCH         ,81.56,1.0,1.0,60.0,10,75,226.56,328.51,295.66
0130F00156 PRESSURE SWITCH         ,91.43,1.0,1.0,60.0,10,75,236.43,342.82,308.54
0130F00166S MEMORY CARDS           ,20.71,1.0,1.0,60.0,10,75,165.71,240.28,216.25
0130F00167S MEMORY CARDS           ,20.71,1.0,1.0,60.0,10,75,165.71,240.28,216.25
0130F00169S MEMORY CARDS           ,20.71,1.0,1.0,60.0,10,75,165.71,240.28,216.25
0130F00190S MEMORY CARDS           ,15.81,1.0,1.0,60.0,10,75,160.81,233.17,209.86
0130F00214 PRESURE SWITCH          ,34.33,1.0,1.0,60.0,10,75,179.33,260.03,234.03
0130F00251 DUAL PRESSURE SWITCH    ,37.61,1.0,1.0,60.0,10,75,182.61,264.78,238.31
0130F00262S MEMORY CARD            ,17.42,1.0,1.0,60.0,10,75,162.42,235.51,211.96
0130F00268S PCB CONTROL            ,18.3,1.0,1.0,60.0,10,75,163.3,236.78,213.11
0130F00270S MEMORY CARD            ,18.3,1.0,1.0,60.0,10,75,163.3,236.78,213.11
0130F00271S MEMORY CARD            ,18.02,1.0,1.0,60.0,10,75,163.02,236.38,212.74
0130F00272S MEMORY CARD            ,18.3,1.0,1.0,60.0,10,75,163.3,236.78,213.11
0130F00273S MEMORY CARD            ,18.3,1.0,1.0,60.0,10,75,163.3,236.78,213.11
0130F00274S MEMORY CARD            ,18.3,1.0,1.0,60.0,10,75,163.3,236.78,213.11
0130F00275S MEMORY CARD            ,18.3,1.0,1.0,60.0,10,75,163.3,236.78,213.11
0130F00276S MEMORY CARD            ,18.3,1.0,1.0,60.0,10,75,163.3,236.78,213.11
0130F00288 DATA  FURNACE PCB(M4)   ,23.81,1.0,1.0,60.0,10,75,168.81,244.77,220.3
0130F00288S DATA  FURNACE PCB      ,24.89,1.0,1.0,60.0,10,75,169.89,246.34,221.71
0130F00302S MEMORY CARD            ,24.5,1.0,1.0,60.0,10,75,169.5,245.78,221.2
0130F00429 PRESSURE SWITCH         ,15.7,1.0,1.0,60.0,10,75,160.7,233.02,209.71
0130F00433 PRESSURE SWITCH         ,40.24,1.0,1.0,60.0,10,75,185.24,268.6,241.74
0130F00433S PRESSURE SWITCH        ,28.67,1.0,1.0,60.0,10,75,173.67,251.82,226.64
0130F00434 PRESSURE SWITCH         ,39.06,1.0,1.0,60.0,10,75,184.06,266.89,240.2
0130F00434S PRESSURE SWITCH        ,39.06,1.0,1.0,60.0,10,75,184.06,266.89,240.2
0130F00435 PRESSURE SWITCH         ,39.06,1.0,1.0,60.0,10,75,184.06,266.89,240.2
0130F00435S PRESSURE SWITCH        ,39.06,1.0,1.0,60.0,10,75,184.06,266.89,240.2
0130F00436 PRESSURE SWITCH         ,39.06,1.0,1.0,60.0,10,75,184.06,266.89,240.2
0130F00436S PRESSURE SWITCH        ,39.06,1.0,1.0,60.0,10,75,184.06,266.89,240.2
0130F00438 PRESSURE SWITH          ,35.02,1.0,1.0,60.0,10,75,180.02,261.03,234.93
0130F00438S PRESSURE SWITH         ,35.02,1.0,1.0,60.0,10,75,180.02,261.03,234.93
0130F00439 PRESSURE SWITCH FER     ,35.02,1.0,1.0,60.0,10,75,180.02,261.03,234.93
0130F00439S PRESSURE SWITCH        ,35.02,1.0,1.0,60.0,10,75,180.02,261.03,234.93
0130F00440 PRESSURE SWITCH FER     ,35.02,1.0,1.0,60.0,10,75,180.02,261.03,234.93
0130F00441 PRESSURE SWITCH FER     ,33.74,1.0,1.0,60.0,10,75,178.74,259.17,233.26
0130F00441S PRESSURE SWITCH        ,27.02,1.0,1.0,60.0,10,75,172.02,249.43,224.49
0130F00442 PRESSURE SWITCH FER     ,35.41,1.0,1.0,60.0,10,75,180.41,261.59,235.44
0130F00442S SWITCH  PRESSURE       ,35.41,1.0,1.0,60.0,10,75,180.41,261.59,235.44
0130F00443 PRESSURE SWITCH         ,39.06,1.0,1.0,60.0,10,75,184.06,266.89,240.2
0130F00443S PRESSURE SWITCH        ,39.06,1.0,1.0,60.0,10,75,184.06,266.89,240.2
0130F00444 PRESSURE SWITCH         ,40.72,1.0,1.0,60.0,10,75,185.72,269.29,242.36
0130F00446 PRESSURE SWITCH         ,40.72,1.0,1.0,60.0,10,75,185.72,269.29,242.36
0130F00447 PRESSURE SWITCH         ,35.48,1.0,1.0,60.0,10,75,180.48,261.7,235.53
0130F00469 PRESSURE SWITCH         ,28.09,1.0,1.0,60.0,10,75,173.09,250.98,225.88
0130F00470 PRESSURE SWITCH         ,39.06,1.0,1.0,60.0,10,75,184.06,266.89,240.2
0130F00471 PRESSURE SWITCH         ,39.57,1.0,1.0,60.0,10,75,184.57,267.63,240.86
0130F00472 PRESSURE SWITCH         ,36.98,1.0,1.0,60.0,10,75,181.98,263.87,237.48
0130F00473 PRESSURE SWITCH         ,38.81,1.0,1.0,60.0,10,75,183.81,266.52,239.87
0130F00474 PRESSURE SWITCH         ,40.72,1.0,1.0,60.0,10,75,185.72,269.29,242.36
0130F00476 PRESSURE SWITCH         ,33.48,1.0,1.0,60.0,10,75,178.48,258.8,232.92
0130F00477 PRESSURE SWITCH         ,34.22,1.0,1.0,60.0,10,75,179.22,259.87,233.88
0130F00478 PRESSURE SWITCH         ,33.48,1.0,1.0,60.0,10,75,178.48,258.8,232.92
0130F00479 PRESSURE SWITCH         ,36.46,1.0,1.0,60.0,10,75,181.46,263.12,236.81
0130F00480 PRESSURE SWITCH         ,35.89,1.0,1.0,60.0,10,75,180.89,262.29,236.06
0130F00482 PRESSURE SWITCH         ,80.04,1.0,1.0,60.0,10,75,225.04,326.31,293.68
0130F00483 PRESSURE SWITCH         ,80.04,1.0,1.0,60.0,10,75,225.04,326.31,293.68
0130F00484 PRESSURE SWITCH         ,40.2,1.0,1.0,60.0,10,75,185.2,268.54,241.69
0130F00486 PRESSURE SWITCH         ,19.41,1.0,1.0,60.0,10,75,164.41,238.39,214.56
0130F00504 SWITCH PRESSURE         ,14.2,1.0,1.0,60.0,10,75,159.2,230.84,207.76
0130F00504S PRESSURE SWITCH        ,15.7,1.0,1.0,60.0,10,75,160.7,233.02,209.71
